17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Edit factory is deprecated, use EditBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1100
17:29:02  |  Core  |  Warning  |  Edit skin is deprecated, use EditBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Edit skin is deprecated, use EditBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Sheet factory is deprecated, use TabItem [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1080
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  StaticText factory is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1088
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
